"population","treatment","voc","trait","r","p","n","significance"
"Bon","Control","voc1","fruits",-0.166383619609743,0.62487812433378,11,""
"Bon","Control","voc2","fruits",0.384952625115998,0.242376153261995,11,""
"Bon","Control","voc3","fruits",0.426108272395961,0.191285441936745,11,""
"Bon","Control","voc4","fruits",-0.532058318880058,0.0920457826278638,11,""
"Bon","Control","voc5","fruits",-0.533486975444959,0.0910118999746148,11,""
"Bon","Control","voc6","fruits",-0.447048442767996,0.168026798120928,11,""
"Bon","Control","voc7","fruits",0.328997929238578,0.323199087463502,11,""
"Bon","Control","voc8","fruits",0.186178850585136,0.583615669680682,11,""
"Bon","Control","voc9","fruits",-0.57072060082026,0.0667121474405007,11,""
"Bon","Control","voc10","fruits",0.328155751433203,0.324513604693687,11,""
"Bon","Control","voc11","fruits",-0.257157280756977,0.445238596358955,11,""
"Bon","Control","voc12","fruits",-0.514982251750832,0.10500501760217,11,""
"Bon","Control","voc13","fruits",-0.300888416548464,0.368597741101895,11,""
"Bon","Control","voc14","fruits",-0.277802450330318,0.408173342122272,11,""
"Bon","Control","voc15","fruits",-0.154931543286133,0.649208173371731,11,""
"Bon","Control","voc16","fruits",-0.573240533466902,0.0652462620959851,11,""
"Bon","Control","voc17","fruits",-0.327679795565605,0.325257764656348,11,""
"Bon","Control","total","fruits",-0.395660464851165,0.228396399438361,11,""
